Size,DataType,Algorithm,TimeMicroseconds
7200,AlmostSorted,QuickSort,681.600000
7200,AlmostSorted,HybridQuickSort,388.200000
7300,Random,QuickSort,958.800000
7300,Random,HybridQuickSort,706.800000
7300,Reversed,QuickSort,689.000000
7300,Reversed,HybridQuickSort,429.600000
7300,AlmostSorted,QuickSort,684.000000
7300,AlmostSorted,HybridQuickSort,375.600000
7400,Random,QuickSort,966.200000
7400,Random,HybridQuickSort,717.800000
7400,Reversed,QuickSort,695.800000
7400,Reversed,HybridQuickSort,464.400000
7400,AlmostSorted,QuickSort,700.400000
7400,AlmostSorted,HybridQuickSort,407.600000
7500,Random,QuickSort,981.600000
7500,Random,HybridQuickSort,713.600000
7500,Reversed,QuickSort,733.000000
7500,Reversed,HybridQuickSort,478.600000
7500,AlmostSorted,QuickSort,694.800000
7500,AlmostSorted,HybridQuickSort,446.200000
7600,Random,QuickSort,990.400000
7600,Random,HybridQuickSort,734.600000
7600,Reversed,QuickSort,740.800000
7600,Reversed,HybridQuickSort,456.200000
7600,AlmostSorted,QuickSort,760.200000
7600,AlmostSorted,HybridQuickSort,453.000000
7700,Random,QuickSort,1051.400000
7700,Random,HybridQuickSort,780.200000
7700,Reversed,QuickSort,773.400000
7700,Reversed,HybridQuickSort,503.400000
7700,AlmostSorted,QuickSort,742.000000
7700,AlmostSorted,HybridQuickSort,430.800000
7800,Random,QuickSort,1053.800000
7800,Random,HybridQuickSort,796.000000
7800,Reversed,QuickSort,795.000000
7800,Reversed,HybridQuickSort,500.400000
7800,AlmostSorted,QuickSort,751.000000
7800,AlmostSorted,HybridQuickSort,415.000000
7900,Random,QuickSort,1097.200000
7900,Random,HybridQuickSort,813.000000
7900,Reversed,QuickSort,783.000000
7900,Reversed,HybridQuickSort,500.400000
7900,AlmostSorted,QuickSort,756.600000
7900,AlmostSorted,HybridQuickSort,434.400000
8000,Random,QuickSort,1127.200000
8000,Random,HybridQuickSort,827.200000
8000,Reversed,QuickSort,773.200000
8000,Reversed,HybridQuickSort,512.200000
8000,AlmostSorted,QuickSort,759.400000
8000,AlmostSorted,HybridQuickSort,425.000000
8100,Random,QuickSort,1068.600000
8100,Random,HybridQuickSort,793.400000
8100,Reversed,QuickSort,780.800000
8100,Reversed,HybridQuickSort,481.000000
8100,AlmostSorted,QuickSort,745.400000
8100,AlmostSorted,HybridQuickSort,440.200000
8200,Random,QuickSort,1082.400000
8200,Random,HybridQuickSort,793.600000
8200,Reversed,QuickSort,789.000000
8200,Reversed,HybridQuickSort,485.000000
8200,AlmostSorted,QuickSort,773.200000
8200,AlmostSorted,HybridQuickSort,455.400000
8300,Random,QuickSort,1095.400000
8300,Random,HybridQuickSort,820.400000
8300,Reversed,QuickSort,801.800000
8300,Reversed,HybridQuickSort,506.200000
8300,AlmostSorted,QuickSort,782.600000
8300,AlmostSorted,HybridQuickSort,453.000000
8400,Random,QuickSort,1122.400000
8400,Random,HybridQuickSort,827.000000
8400,Reversed,QuickSort,806.200000
8400,Reversed,HybridQuickSort,515.200000
8400,AlmostSorted,QuickSort,790.600000
8400,AlmostSorted,HybridQuickSort,464.000000
8500,Random,QuickSort,1131.400000
8500,Random,HybridQuickSort,837.000000
8500,Reversed,QuickSort,809.000000
8500,Reversed,HybridQuickSort,549.600000
8500,AlmostSorted,QuickSort,859.000000
8500,AlmostSorted,HybridQuickSort,502.400000
8600,Random,QuickSort,1222.200000
8600,Random,HybridQuickSort,856.800000
8600,Reversed,QuickSort,874.800000
8600,Reversed,HybridQuickSort,528.400000
8600,AlmostSorted,QuickSort,868.600000
8600,AlmostSorted,HybridQuickSort,463.800000
8700,Random,QuickSort,1217.600000
8700,Random,HybridQuickSort,880.000000
8700,Reversed,QuickSort,886.400000
8700,Reversed,HybridQuickSort,546.200000
8700,AlmostSorted,QuickSort,877.600000
8700,AlmostSorted,HybridQuickSort,484.600000
8800,Random,QuickSort,1253.400000
8800,Random,HybridQuickSort,903.000000
8800,Reversed,QuickSort,873.600000
8800,Reversed,HybridQuickSort,553.800000
8800,AlmostSorted,QuickSort,847.200000
8800,AlmostSorted,HybridQuickSort,493.800000
8900,Random,QuickSort,1208.600000
8900,Random,HybridQuickSort,871.400000
8900,Reversed,QuickSort,857.400000
8900,Reversed,HybridQuickSort,567.200000
8900,AlmostSorted,QuickSort,845.400000
8900,AlmostSorted,HybridQuickSort,501.800000
9000,Random,QuickSort,1186.200000
9000,Random,HybridQuickSort,892.200000
9000,Reversed,QuickSort,858.800000
9000,Reversed,HybridQuickSort,557.600000
9000,AlmostSorted,QuickSort,856.800000
9000,AlmostSorted,HybridQuickSort,497.800000
9100,Random,QuickSort,1206.400000
9100,Random,HybridQuickSort,892.800000
9100,Reversed,QuickSort,860.800000
9100,Reversed,HybridQuickSort,549.000000
9100,AlmostSorted,QuickSort,865.800000
9100,AlmostSorted,HybridQuickSort,512.600000
9200,Random,QuickSort,1217.000000
9200,Random,HybridQuickSort,898.000000
9200,Reversed,QuickSort,884.400000
9200,Reversed,HybridQuickSort,557.800000
