Size,DataType,Algorithm,TimeMicroseconds
7100,AlmostSorted,HybridMergeSort,835.800000
7200,Random,MergeSort,2738.400000
7200,Random,HybridMergeSort,1344.200000
7200,Reversed,MergeSort,2231.200000
7200,Reversed,HybridMergeSort,1108.000000
7200,AlmostSorted,MergeSort,2308.400000
7200,AlmostSorted,HybridMergeSort,854.400000
7300,Random,MergeSort,2857.000000
7300,Random,HybridMergeSort,1375.600000
7300,Reversed,MergeSort,2236.200000
7300,Reversed,HybridMergeSort,1104.600000
7300,AlmostSorted,MergeSort,2313.600000
7300,AlmostSorted,HybridMergeSort,831.600000
7400,Random,MergeSort,2767.000000
7400,Random,HybridMergeSort,1340.400000
7400,Reversed,MergeSort,2258.000000
7400,Reversed,HybridMergeSort,1112.800000
7400,AlmostSorted,MergeSort,2376.400000
7400,AlmostSorted,HybridMergeSort,821.200000
7500,Random,MergeSort,2829.000000
7500,Random,HybridMergeSort,1371.400000
7500,Reversed,MergeSort,2284.800000
7500,Reversed,HybridMergeSort,1134.600000
7500,AlmostSorted,MergeSort,2332.600000
7500,AlmostSorted,HybridMergeSort,823.400000
7600,Random,MergeSort,2840.800000
7600,Random,HybridMergeSort,1379.400000
7600,Reversed,MergeSort,2314.400000
7600,Reversed,HybridMergeSort,1146.400000
7600,AlmostSorted,MergeSort,2359.400000
7600,AlmostSorted,HybridMergeSort,827.200000
7700,Random,MergeSort,2870.400000
7700,Random,HybridMergeSort,1395.000000
7700,Reversed,MergeSort,2347.200000
7700,Reversed,HybridMergeSort,1165.600000
7700,AlmostSorted,MergeSort,2394.200000
7700,AlmostSorted,HybridMergeSort,840.800000
7800,Random,MergeSort,2930.600000
7800,Random,HybridMergeSort,1425.200000
7800,Reversed,MergeSort,2421.600000
7800,Reversed,HybridMergeSort,1209.800000
7800,AlmostSorted,MergeSort,2475.200000
7800,AlmostSorted,HybridMergeSort,864.400000
7900,Random,MergeSort,3031.400000
7900,Random,HybridMergeSort,1472.600000
7900,Reversed,MergeSort,2439.400000
7900,Reversed,HybridMergeSort,1225.000000
7900,AlmostSorted,MergeSort,2486.600000
7900,AlmostSorted,HybridMergeSort,882.200000
8000,Random,MergeSort,3057.000000
8000,Random,HybridMergeSort,1496.000000
8000,Reversed,MergeSort,2468.600000
8000,Reversed,HybridMergeSort,1242.000000
8000,AlmostSorted,MergeSort,2548.400000
8000,AlmostSorted,HybridMergeSort,891.000000
8100,Random,MergeSort,3080.200000
8100,Random,HybridMergeSort,1512.600000
8100,Reversed,MergeSort,2501.200000
8100,Reversed,HybridMergeSort,1265.800000
8100,AlmostSorted,MergeSort,2576.400000
8100,AlmostSorted,HybridMergeSort,928.000000
8200,Random,MergeSort,3121.200000
8200,Random,HybridMergeSort,1528.600000
8200,Reversed,MergeSort,2566.400000
8200,Reversed,HybridMergeSort,1283.200000
8200,AlmostSorted,MergeSort,2619.000000
8200,AlmostSorted,HybridMergeSort,923.000000
8300,Random,MergeSort,3136.200000
8300,Random,HybridMergeSort,1525.200000
8300,Reversed,MergeSort,2573.200000
8300,Reversed,HybridMergeSort,1310.000000
8300,AlmostSorted,MergeSort,2622.400000
8300,AlmostSorted,HybridMergeSort,925.400000
8400,Random,MergeSort,3192.400000
8400,Random,HybridMergeSort,1558.000000
8400,Reversed,MergeSort,2563.400000
8400,Reversed,HybridMergeSort,1287.600000
8400,AlmostSorted,MergeSort,2667.000000
8400,AlmostSorted,HybridMergeSort,935.400000
8500,Random,MergeSort,3233.800000
8500,Random,HybridMergeSort,1582.400000
8500,Reversed,MergeSort,2602.200000
8500,Reversed,HybridMergeSort,1344.800000
8500,AlmostSorted,MergeSort,2692.200000
8500,AlmostSorted,HybridMergeSort,934.200000
8600,Random,MergeSort,3301.200000
8600,Random,HybridMergeSort,1620.000000
8600,Reversed,MergeSort,2696.400000
8600,Reversed,HybridMergeSort,1354.400000
8600,AlmostSorted,MergeSort,2747.600000
8600,AlmostSorted,HybridMergeSort,989.400000
8700,Random,MergeSort,3319.800000
8700,Random,HybridMergeSort,1621.200000
8700,Reversed,MergeSort,2722.600000
8700,Reversed,HybridMergeSort,1368.600000
8700,AlmostSorted,MergeSort,2752.200000
8700,AlmostSorted,HybridMergeSort,949.400000
8800,Random,MergeSort,3352.800000
8800,Random,HybridMergeSort,1636.600000
8800,Reversed,MergeSort,2689.000000
8800,Reversed,HybridMergeSort,1369.400000
8800,AlmostSorted,MergeSort,2783.800000
8800,AlmostSorted,HybridMergeSort,984.600000
8900,Random,MergeSort,3423.600000
8900,Random,HybridMergeSort,1660.400000
8900,Reversed,MergeSort,2768.600000
8900,Reversed,HybridMergeSort,1399.600000
8900,AlmostSorted,MergeSort,2833.800000
8900,AlmostSorted,HybridMergeSort,983.400000
9000,Random,MergeSort,3482.200000
9000,Random,HybridMergeSort,1691.800000
9000,Reversed,MergeSort,2821.200000
9000,Reversed,HybridMergeSort,1435.800000
9000,AlmostSorted,MergeSort,2911.200000
9000,AlmostSorted,HybridMergeSort,1024.400000
9100,Random,MergeSort,3462.200000
9100,Random,HybridMergeSort,1687.400000
9100,Reversed,MergeSort,2819.000000
9100,Reversed,HybridMergeSort,1461.600000
9100,AlmostSorted,MergeSort,2906.200000
9100,AlmostSorted,HybridMergeSort,1014.400000
9200,Random,MergeSort,3507.600000
9200,Random,HybridMergeSort,1708.400000
9200,Reversed,MergeSort,2813.600000
9200,Reversed,HybridMergeSort,1452.200000
9200,AlmostSorted,MergeSort,2947.200000
9200,AlmostSorted,HybridMergeSort,1021.800000
9300,Random,MergeSort,3551.800000
9300,Random,HybridMergeSort,1723.200000
9300,Reversed,MergeSort,2854.800000
9300,Reversed,HybridMergeSort,1473.800000
9300,AlmostSorted,MergeSort,3006.000000
9300,AlmostSorted,HybridMergeSort,1052.600000
9400,Random,MergeSort,3641.600000
9400,Random,HybridMergeSort,1752.400000
9400,Reversed,MergeSort,2928.400000
9400,Reversed,HybridMergeSort,1539.000000
9400,AlmostSorted,MergeSort,3037.600000
9400,AlmostSorted,HybridMergeSort,1063.600000
9500,Random,MergeSort,3624.400000
9500,Random,HybridMergeSort,1774.400000
9500,Reversed,MergeSort,2959.000000
9500,Reversed,HybridMergeSort,1563.200000
9500,AlmostSorted,MergeSort,3076.800000
9500,AlmostSorted,HybridMergeSort,1074.400000
9600,Random,MergeSort,3670.800000
9600,Random,HybridMergeSort,1801.400000
9600,Reversed,MergeSort,2962.200000
9600,Reversed,HybridMergeSort,1593.000000
9600,AlmostSorted,MergeSort,3136.400000
9600,AlmostSorted,HybridMergeSort,1082.600000
9700,Random,MergeSort,3750.000000
9700,Random,HybridMergeSort,1865.600000
9700,Reversed,MergeSort,3071.200000
9700,Reversed,HybridMergeSort,1584.000000
9700,AlmostSorted,MergeSort,3097.000000
9700,AlmostSorted,HybridMergeSort,1053.800000
9800,Random,MergeSort,3787.000000
9800,Random,HybridMergeSort,1850.000000
9800,Reversed,MergeSort,3023.600000
9800,Reversed,HybridMergeSort,1581.200000
9800,AlmostSorted,MergeSort,3177.200000
9800,AlmostSorted,HybridMergeSort,1092.200000
9900,Random,MergeSort,3815.000000
9900,Random,HybridMergeSort,1886.200000
9900,Reversed,MergeSort,3077.800000
9900,Reversed,HybridMergeSort,1609.200000
9900,AlmostSorted,MergeSort,3193.600000
9900,AlmostSorted,HybridMergeSort,1140.200000
10000,Random,MergeSort,3914.800000
10000,Random,HybridMergeSort,1925.600000
10000,Reversed,MergeSort,3110.600000
10000,Reversed,HybridMergeSort,1694.000000
10000,AlmostSorted,MergeSort,3232.000000
10000,AlmostSorted,HybridMergeSort,1108.200000
10100,Random,MergeSort,3870.800000
10100,Random,HybridMergeSort,1897.400000
10100,Reversed,MergeSort,3118.800000
10100,Reversed,HybridMergeSort,1726.400000
10100,AlmostSorted,MergeSort,3263.000000
10100,AlmostSorted,HybridMergeSort,1096.200000
10200,Random,MergeSort,3917.600000
10200,Random,HybridMergeSort,1964.200000
10200,Reversed,MergeSort,3147.600000
10200,Reversed,HybridMergeSort,1740.000000
10200,AlmostSorted,MergeSort,3383.800000
10200,AlmostSorted,HybridMergeSort,1142.000000
10300,Random,MergeSort,3978.000000
10300,Random,HybridMergeSort,1968.800000
10300,Reversed,MergeSort,3193.400000
10300,Reversed,HybridMergeSort,1727.000000
10300,AlmostSorted,MergeSort,3342.800000
10300,AlmostSorted,HybridMergeSort,1147.800000
10400,Random,MergeSort,4047.200000
10400,Random,HybridMergeSort,2006.200000
10400,Reversed,MergeSort,3262.400000
10400,Reversed,HybridMergeSort,1799.800000
10400,AlmostSorted,MergeSort,3379.000000
10400,AlmostSorted,HybridMergeSort,1152.400000
10500,Random,MergeSort,4057.400000
10500,Random,HybridMergeSort,2028.800000
10500,Reversed,MergeSort,3264.600000
10500,Reversed,HybridMergeSort,1795.000000
10500,AlmostSorted,MergeSort,3452.200000
10500,AlmostSorted,HybridMergeSort,1140.600000
10600,Random,MergeSort,4099.000000
10600,Random,HybridMergeSort,2041.400000
10600,Reversed,MergeSort,3334.400000
10600,Reversed,HybridMergeSort,1797.000000
10600,AlmostSorted,MergeSort,3449.000000
10600,AlmostSorted,HybridMergeSort,1172.400000
10700,Random,MergeSort,4193.200000
10700,Random,HybridMergeSort,2044.400000
10700,Reversed,MergeSort,3323.200000
10700,Reversed,HybridMergeSort,1801.400000
10700,AlmostSorted,MergeSort,3469.800000
10700,AlmostSorted,HybridMergeSort,1150.400000
10800,Random,MergeSort,4194.800000
10800,Random,HybridMergeSort,2073.800000
10800,Reversed,MergeSort,3395.000000
10800,Reversed,HybridMergeSort,1825.800000
10800,AlmostSorted,MergeSort,3529.800000
10800,AlmostSorted,HybridMergeSort,1197.000000
10900,Random,MergeSort,4213.400000
10900,Random,HybridMergeSort,2074.000000
10900,Reversed,MergeSort,3392.600000
10900,Reversed,HybridMergeSort,1855.800000
10900,AlmostSorted,MergeSort,3532.800000
10900,AlmostSorted,HybridMergeSort,1205.000000
11000,Random,MergeSort,4255.000000
11000,Random,HybridMergeSort,2092.800000
11000,Reversed,MergeSort,3412.400000
11000,Reversed,HybridMergeSort,1857.600000
11000,AlmostSorted,MergeSort,3561.800000
11000,AlmostSorted,HybridMergeSort,1227.400000
11100,Random,MergeSort,4319.600000
11100,Random,HybridMergeSort,2129.000000
11100,Reversed,MergeSort,3480.600000
11100,Reversed,HybridMergeSort,1961.400000
11100,AlmostSorted,MergeSort,3602.000000
11100,AlmostSorted,HybridMergeSort,1202.600000
11200,Random,MergeSort,4313.200000
11200,Random,HybridMergeSort,2144.200000
