array_type;algorithm;size;average_time_microseconds;average_char_comparisons;sorted
almost_sorted;msd_radix_quick_sort;2000;980;16855;yes
same_prefix;msd_radix_quick_sort;2000;2258;69285;yes
random;standard_quick_sort;2100;9219;362757;yes
reverse_sorted;standard_quick_sort;2100;63955;2690508;yes
almost_sorted;standard_quick_sort;2100;9144;365343;yes
same_prefix;standard_quick_sort;2100;19774;822641;yes
random;standard_merge_sort;2100;3248;28794;yes
reverse_sorted;standard_merge_sort;2100;2861;17794;yes
almost_sorted;standard_merge_sort;2100;3112;27348;yes
same_prefix;standard_merge_sort;2100;9880;315861;yes
random;string_quick_sort;2100;1497;24007;yes
reverse_sorted;string_quick_sort;2100;4835;81756;yes
almost_sorted;string_quick_sort;2100;1705;29495;yes
same_prefix;string_quick_sort;2100;1830;53057;yes
random;string_merge_sort;2100;3257;28794;yes
reverse_sorted;string_merge_sort;2100;2871;17794;yes
almost_sorted;string_merge_sort;2100;3114;27348;yes
same_prefix;string_merge_sort;2100;9947;315861;yes
random;msd_radix_sort;2100;1292;9770;yes
reverse_sorted;msd_radix_sort;2100;1443;10176;yes
almost_sorted;msd_radix_sort;2100;1430;10104;yes
same_prefix;msd_radix_sort;2100;2841;68530;yes
random;msd_radix_quick_sort;2100;856;14388;yes
reverse_sorted;msd_radix_quick_sort;2100;2208;39011;yes
almost_sorted;msd_radix_quick_sort;2100;1028;17690;yes
same_prefix;msd_radix_quick_sort;2100;2416;72990;yes
random;standard_quick_sort;2200;10460;389885;yes
reverse_sorted;standard_quick_sort;2200;68588;2930552;yes
almost_sorted;standard_quick_sort;2200;9659;386496;yes
same_prefix;standard_quick_sort;2200;21457;890609;yes
random;standard_merge_sort;2200;3479;30539;yes
reverse_sorted;standard_merge_sort;2200;3090;18662;yes
almost_sorted;standard_merge_sort;2200;3318;29006;yes
same_prefix;standard_merge_sort;2200;10939;333471;yes
random;string_quick_sort;2200;1537;24607;yes
reverse_sorted;string_quick_sort;2200;5145;86469;yes
almost_sorted;string_quick_sort;2200;1784;31042;yes
same_prefix;string_quick_sort;2200;1850;55074;yes
random;string_merge_sort;2200;3472;30539;yes
reverse_sorted;string_merge_sort;2200;3076;18662;yes
almost_sorted;string_merge_sort;2200;3308;29006;yes
same_prefix;string_merge_sort;2200;10467;333471;yes
random;msd_radix_sort;2200;1361;10268;yes
reverse_sorted;msd_radix_sort;2200;1531;10686;yes
almost_sorted;msd_radix_sort;2200;1510;10626;yes
same_prefix;msd_radix_sort;2200;2990;71834;yes
random;msd_radix_quick_sort;2200;912;15266;yes
reverse_sorted;msd_radix_quick_sort;2200;2291;40775;yes
almost_sorted;msd_radix_quick_sort;2200;1090;18675;yes
same_prefix;msd_radix_quick_sort;2200;2530;76669;yes
random;standard_quick_sort;2300;10600;403869;yes
